('Heather Nauert', 'PER')
('New York', 'LOC')
('Department', 'ORG')
('Bureau of Overseas Buildings Operations', 'ORG')
('OBO', 'ORG')
('Christine Foushee', 'PER')
('Morgan Ortagus', 'PER')
('Michael R. Pompeo', 'PER')
('Kazakhstani', 'MISC')
('Beibut Atamkulov', 'PER')
('U.S.-Kazakhstani', 'MISC')
('Kassym Jomart Tokayev', 'PER')
('Kazakhstan', 'LOC')
('Kazakhstan', 'LOC')
('Kazakhstan', 'LOC')
('Syria', 'LOC')
('Kazakhstan', 'LOC')
('Afghanistan', 'LOC')
('March 2 2020', 'DATE')
('James A. Walsh', 'PER')
('U.S.', 'LOC')
('63rd Commission on Narcotic Drugs', 'ORG')
('CND', 'ORG')
('March 2 6', 'DATE')
('Vienna', 'LOC')
('Austria', 'LOC')
('United States', 'LOC')
('Trump', 'PER')
('World Drug Problem', 'MISC')
('United States', 'LOC')
('United States', 'LOC')
('United States', 'LOC')
('CND', 'ORG')
('United States', 'LOC')
('Department of State', 'ORG')
('Department of Justice', 'ORG')
('Department of Health and Human Services', 'ORG')
('Food and Drug Administration', 'ORG')
('Department of Agriculture', 'ORG')
('State Department', 'ORG')
('INL', 'ORG')
('United States', 'LOC')
('United States', 'LOC')
('July 26 2018', 'DATE')
('Pompeo', 'PER')
('Trump', 'PER')
('United States Government', 'ORG')
('United States', 'LOC')
('ISIS', 'ORG')
('Iraq', 'LOC')
('Jared Kushner', 'PER')
('Mick Mulvaney', 'PER')
('Mark Green', 'PER')
('Nikki Haley', 'PER')
('State Department', 'ORG')
('United States', 'LOC')
('International Religious Freedom Fund', 'ORG')
('International Visitor Leadership Program', 'ORG')
('United States', 'LOC')
('State Department', 'ORG')
('Potomac Declaration', 'MISC')
('Potomac Plan of Action', 'MISC')
('United States', 'LOC')
('Brownback', 'PER')
('State Department', 'ORG')
('America', 'LOC')
('Brownback', 'PER')
('U.S.', 'LOC')
('U.S. Consulate General Istanbul', 'ORG')
('Metin Topuz', 'PER')
('March 26th', 'DATE')
('Topuz', 'PER')
('United States', 'LOC')
('Turkey', 'LOC')
('Topuz', 'PER')
('United States', 'LOC')
('Turkey', 'LOC')
('Turkish', 'MISC')
('June 1, 2020', 'DATE')
('U. S. Department of State', 'ORG')
('Venezuelan', 'MISC')
('Joselit de la Trinidad Ramirez Camacho', 'PER')
('Venezuelan', 'MISC')
('Venezuela', 'LOC')
('United States', 'LOC')
('Venezuelans', 'MISC')
('Ramirez Camacho', 'PER')
('Venezuelan', 'MISC')
('Maduro', 'PER')
('Ramirez Camacho', 'PER')
('Tareck El Aissami', 'PER')
('Southern District of New York', 'LOC')
('Department of State', 'ORG')
('Transnational Organized Crime Rewards Program', 'MISC')
('Narcotics Rewards Program', 'MISC')
('Department of State', 'ORG')
('Bureau of International Narcotics and Law Enforcement Affairs', 'ORG')
('Drug Enforcement Administration', 'ORG')
('DEA', 'ORG')
('Federal Bureau of Investigation', 'ORG')
('U.S. Immigration and Customs Enforcement', 'ORG')
('Homeland Security Investigations', 'ORG')
('State Department', 'ORG')
('Transnational Organized Crime Rewards Program', 'MISC')
