publish_date,processed_text
"April 23, 2017",press statement Mark C. Toner acting spokesperson Washington dc April 23 2017 The United States is shocked and deeply saddened by the death of a U.S. citizen serving as a paramedic with the Organization for Security and Cooperation in Europe OSCE special monitoring mission smm when his vehicle struck an explosive in separatist controlled territory in eastern Ukraine we extend our deepest and heartfelt condolences to his family friends and loved ones and we wish a quick recovery for those injured in the blast this death underscores the increasingly dangerous conditions under which these courageous monitors work including access restrictions threats and harassment The United States urges Russia to use its influence with the separatists to allow the OSCE to conduct a full transparent and timely investigation since its establishment in 2014 the osce smm has played a vital role in its role of monitoring the Minsk agreements designed to bring peace to eastern Ukraine this incident makes clear the need for all sides- and particularly the Russian led separatist forces to implement their commitments under the minsk agreements immediately this includes a real and durable ceasefire withdrawal of heavy weapons and disengagement from the line of contact the brave monitors of the smm have the full support of the United States and we condemn in the strongest terms all acts of hostility and intimidation toward smm monitors they must also have safe full and unfettered access throughout the conflict zone The United States again calls upon Russia to use its influence with the separatists to take the first step toward peace to eastern Ukraine and ensure a visible verifiable and irreversible improvement in the security situation
"January 28, 2020",the below is attributable to Spokesperson Morgan Ortagus secretary of State Michael R. Pompeo met today with Beninese president Patrice Talon in Washington D.C. secretary Pompeo and president Talon discussed regional security cooperation to counter violent extremist threats stemming from the neighboring Sahel the secretary and the president also addressed the importance of shared democratic values as the basis of our bilateral partnership finally they discussed ways to improve U.S.-Benin private sector ties and increase bilateral trade
"March 23, 2020",The United States is proud of our partnership with the Islamic Republic of Afghanistan and the Afghan people and admires what Afghanistan has achieved since 2001 we have forged a deep bond especially with Afghan security forces through shared sacrifice in responding to threats to international peace and security since 2001 underscoring the national priority the United States attaches to helping bring about a political settlement to forty years of devastating war secretary Pompeo came to Kabul today with an urgent message he spoke directly to the nation 's leaders to impress upon them the need to compromise for the sake of the Afghan people The United States deeply regrets that Afghan president Ashraf Ghani and former chief executive Abdullah Abdullah have informed secretary Pompeo that they have been unable to agree on an inclusive government that can meet the challenges of governance peace and security and provide for the health and welfare of Afghan citizens The United States is disappointed in them and what their conduct means for Afghanistan and our shared interests their failure has harmed U.S.-Afghan relations and sadly dishonors those Afghan Americans and coalition partners who have sacrificed their lives and treasure in the struggle to build a new future for this country because this leadership failure poses a direct threat to U.S. national interests effective immediately the U.S. government will initiate a review of the scope of our cooperation with Afghanistan among other steps we are today announcing a responsible adjustment to our spending in Afghanistan and immediately reducing assistance by $ 1 billion this year we are prepared to reduce by another $ 1 billion in 2021 we will also initiate a review of all of our programs and projects to identify additional reductions and reconsider our pledges to future donor conferences for Afghanistan we have made clear to the leadership that we will not back security operations that are politically motivated nor support political leaders who order such operations or those who advocate for or support parallel government The United States remains convinced that a political settlement is the only solution to the conflict we note that Afghan leaders are acting inconsistently with their commitments under the Joint Declaration chiefly failing to establish an inclusive national team to participate in intra Afghan negotiations or take practical steps to facilitate prisoner releases by both sides as a confidence building measure to reach a political settlement and achieve a permanent and comprehensive ceasefire we are proceeding with the conditions based withdrawal of our forces in accordance with the U.S.-Taliban agreement should Afghan leaders choose to form an inclusive government that can provide security and participate in the peace process the United States is prepared to support these efforts and revisit the reviews initiated today The United States is not abandoning our partnership with Afghanistan nor our commitment to support the Afghan security forces but reviewing the scope of our cooperation given the irresponsible actions of Afghan leaders to illustrate America 's steadfast commitment to the Afghan people the United States will be providing $ 15 million in assistance to help combat the spread of the coronavirus in Afghanistan
"July 1, 2019",assistant secretary for African Affairs Tibor Nagy will travel to Portugal and the United Kingdom from July 3 to July 11 2019 during stops in Lisbon and London assistant secretary Nagy will meet with European partners to discuss common objectives to support Africa 's economic growth and security he will also deliver a speech on U.S.-Africa policy at the Institute of Social and Political Sciences iscsp of the University of Lisbon in Portugal
"August 11, 2020",the spread in the United States of mobile applications developed and owned by companies in the People 's Republic of China China continues to threaten the national security foreign policy and economy of the United States --president Donald J. Trump August 6 2020 we 've urged countries to become Clean Countries so that their citizens private information does n't end up in the hand of the Chinese Communist Party --secretary of State Michael R. Pompeo July 23 2020 just as the Trump Administration has taken unprecedented action to defend our physical borders it is also defending the United States on cyber frontiers on April 29 2020 secretary Pompeo announced that as part of the 2019 National Defense Authorization Act the State Department will require a Clean Path for all standalone 5 g network traffic entering and exiting U.S. diplomatic facilities at home and abroad on August 5 2020 secretary Pompeo announced the expansion of The Clean Network to include Clean Carrier Clean Store clean apps clean cloud and Clean Cable on August 6 2020 president Trump signed two executive orders exercising his authority under the International Emergency Economic Powers Act ieepa to address the threats posed by apps such as TikTok and WeChat The Clean Network Lines of Effort The Clean Network initiative is a comprehensive effort to address the long term threat to data privacy security and human rights posed to the free world from authoritarian malign actors such as the Chinese Communist Party CCP The Clean Network is rooted in internationally accepted digital trust standards and is a reflection of our commitment to an open interoperable and secure global internet based on shared democratic values and respect for human rights this effort represents the execution of a multi year all of government enduring strategy built on a coalition of trusted partners 5 g clean path to protect the voice and data traversing 5 g standalone networks entering and exiting U.S. diplomatic facilities at home and abroad announced by secretary Pompeo on April 29 2020 the 5 g clean path is an end to end communication path that does not use any transmission control computing or storage equipment from untrusted it vendors such as Huawei and ZTE which are required by Chinese law to comply with directives of the CCP the 5 g clean path embodies the highest standards of security against untrusted high risk vendors ability to disrupt manipulate or deny services to private citizens financial institutions or critical infrastructure all mobile data traffic entering American diplomatic systems will be subject to new stringent requirements clean carrier to ensure untrusted People 's Republic of China PRC carriers are not connected with U.S. telecommunications networks such companies pose a danger to U.S. national security and should not provide international telecommunications services to and from the United States clean store to remove untrusted applications from U.S. mobile app stores PRC apps threaten our privacy proliferate viruses censor content and spread propaganda and disinformation on August 6 2020 president Trump signed two executive orders to address the threats posed by TikTok and WeChat TikTok and WeChat capture vast swathes of data from their unsuspecting users and are compelled by Chinese law to turn over this private information to the CCP upon request the American people 's most sensitive personal and business information must be protected on their mobile phones from exploitation and theft for the CCP 's benefit clean Apps to prevent untrusted PRC smartphone manufacturers from pre installing or otherwise making available for download trusted apps on their apps store Huawei an arm of the PRC surveillance state is trading on the innovations and reputations of leading U.S. and foreign companies these companies should remove their apps from Huawei 's app store to ensure they are not partnering with a human rights abuser clean cloud to prevent U.S. citizens most sensitive personal information and our businesses most valuable intellectual property including COVID-19 vaccine research from being stored and processed on cloud based systems built or operated by untrusted vendors such as Alibaba Baidu China Mobile China Telecom and Tencent Clean Cable to ensure the undersea cables connecting our country to the global internet are not subverted for intelligence gathering by the PRC at hyper scale we will also work with foreign partners to ensure that undersea cables around the world are n't built or operated by untrusted vendors Clean Countries and territories The United States is joined in The Clean Network by more than thirty like minded Clean Countries and Territories who have committed protecting their 5 g networks from untrusted vendors and/or their telecommunications carriers have agreed to only use trusted vendors examples include Albania Australia Canada Czech Republic Denmark Estonia France greece Israel Japan Latvia Norway Poland Romania Slovenia Sweden Taiwan United Kingdom USA Vietnam Notable quotes prime minister of Poland Mateusz Morawiecki stated Poland believes the construction of our 5 g clean path network is a prerequisite for EU strategic technological sovereignty that is why we must keep it secure at all costs and we are a 5 g clean country to protect our 5 g network from potential wrongdoers it is necessary that all European entrepreneurs maintain clean production lines and a 5 g clean path free from potential industrial espionage demanding that 5 g clean standards are observed with regard to 5 g technology is a step towards building a fairer globalized world European commissioner Thierry Breton remarked on the clean EU 5 g toolbox The European Union with all member states developed a 5 g cybersecurity toolbox defining the criteria and clear measures to avoid the use of high risk suppliers the toolbox adds that member states have identified certain non EU countries with state backed actors as a serious cyber threat to their national interest the European 5 g suppliers are likely to meet these criteria it will serve as a reference for the telco operators board of directors who have to make the decision on 5 g suppliers if they choose a high risk 5 g supplier the board members may be liable if something happens clean Telcos many of the largest telecommunications companies around the globe are becoming Clean Telcos by choosing to only use trusted vendors for their 5 g network buildouts orange in France Jio in India Telstra in Australia sk and KT in South Korea NTT in Japan Hrvatski Telekom in Croatia Tele2 in Estonia Three in Ireland LMT in Latvia Vodafone Ziggo in the Netherlands Plus in Poland Singtel in Singapore TDC in Denmark o2 in the United Kingdom and all the 5 g telcos in Canada Norway Vietnam and Taiwan are rejecting doing business with tools of the CCP 's surveillance state like Huawei notable quotes Telefonica states in its Digital Manifesto that security is paramount and its ceo and chairman Jose Maria Alvarez Pallete lopez declared Telefonica is proud to be a 5 g clean path company Telefonica Spain and O2 UK are fully clean networks and Telefonica Deutschland Germany and Vivo Brazil will be in the near future without equipment from any untrusted vendors ceo Jun Sawada of Japan 's NTT the safety and security of our customers and their personal information is our top priority in this context the statement by U.S. government regarding 5 G Clean Network is consistent with our position that is why we are glad to be appreciated as a 5 G Clean Telecommunications company and are committed to only using trusted vendors in our 5 g networks in Japan and as we expand our business around the world Telekom Albania ceo emil georgakiev 5 g networks will play a critical role in the lives of individuals and business with any malfunction of infrastructure or leakage of data having a devastating impact on society that 's why Telekom Albania continues to show its commitment to the highest standards of network security for our customers and our partners by using only trusted equipment we are proud to be a 5 g clean path partner oracle ceo Safra Catz oracle shares the vision of secure trusted and resilient 5 g applications and networks grounded in our commitment to develop the most secure telecommunications and infrastructure products and services for our customers we are proud to support the clean path initiative and provide clean path solutions VMware ceo Pat Gelsinger VMware is pleased to provide support for Clean Path we intend to create end to end 5 g infrastructure that is open secure programmable reliable and software driven safety and security should be the goal of everybody globally who is serious about building the best and safest possible telecommunications infrastructure for 5 g 6 g and beyond Momentum for The Clean Network initiative is growing The United States calls on our allies and partners in government and industry around the world to join the growing tide to secure our data from the CCP 's surveillance state and China 's Great Firewall where data comes in but does not flow out and reciprocally propaganda goes out but the truth does n't come in by building a coalition of partners we will enhance the protection of our citizens data and our freedoms get more information on The Clean Network https://2017-2021.state.gov/5g-clean-network/ executive order on addressing the threat posed by tiktok https://www.whitehouse.gov/presidential-actions/executive-order-addressing-threat-posed-tiktok/ executive order on addressing the threat posed by wechat https://www.whitehouse.gov/presidential-actions/executive-order-addressing-threat-posed-wechat/ find out more about American economic diplomacy headed by under secretary of State Keith Krach https://2017-2021.state.gov/bureaus-offices/under-secretary-for-economic-growth-energy-and-the-environment/
"June 5, 2017",press statement Rex W. Tillerson secretary of State Washington dc June 5 2017 greetings on behalf of the United States on the occasion of the 168th anniversary of the adoption of the Danish constitution The United States and Denmark have enjoyed a close partnership since the establishment of diplomatic relations in 1801 Denmark 's strong support of NATO and its valuable contributions in the fight against terrorism promotes stability and security in Europe and around the world we are proud to call Denmark an ally and friend best wishes to all Danes as you celebrate this special day
"May 14, 2018",press statement Mike Pompeo secretary of State Washington DC May 14 2018 on behalf of president Trump and the people of the United States i offer congratulations on the 207th anniversary of Paraguay 's independence for 165 years our two countries have been close friends partners and allies This year in particular we celebrate the 50th anniversary of the Kansas Paraguay Partnership which has enabled thousands of Paraguayans and Kansans to bond through cultural educational and professional exchange we share a partnership based on a common commitment to increase economic opportunity to promote human rights and to strengthen transparent and responsive democratic institutions Paraguay 's outspoken leadership defending democracy and human rights in Venezuela is an example for the international community and is a testament to the shared democratic values that make our relationship so robust i also congratulate you once again on a successful election in April 2018 your continuing commitment to democratic values connects our peoples as we work together to confront the challenges of the 21st century
"July 3, 2019",Today the United States removed sanctions on oil shipping company PB Tankers in response to actions it has taken to ensure that its vessels no longer were complicit in supporting the former Maduro regime additionally the United States designated Cubametales the Cuban state run company and primary facilitator of oil imports from Venezuela for circumventing U.S. sanctions the services and goods Cuba provides Venezuela continue to fuel the corruption of Maduro and his cronies and help maintain their influence over the Venezuelan people these actions serve to squeeze the lifeline provided by Cuba that preserves Nicolas Maduro 's influence every drop of Venezuelan oil shipped to Cuba is traded for additional security and intelligence officers and other personnel which further robs and impoverishes a once rich nation denies Venezuelan sovereignty and prolongs the suffering of the Venezuelan people we commend PB Tankers which was sanctioned on April 12 2019 for taking actions since then to ensure that its vessels are not used to prop up Maduro and his Cuban sponsors this is a reminder that those who take concrete and meaningful actions to restore democracy in Venezuela can expect the removal of sanctions at the same time the United States will continue to take action against those that seek to thwart Venezuela 's peaceful transition back to freedom and prosperity we call on the international community to step up pressure on Nicolas Maduro and his criminal associates we must stand together in support of the Venezuelan people 's struggle for democracy and desire to live in dignity
"May 8, 2018",special briefing senior state department official on plane ert yokota air base Japan May 8 2018 senior STATE DEPARTMENT official so i 'll just be on background as a senior administration official question administration not State Department senior STATE DEPARTMENT official no senior State Department official 's fine question okay senior STATE DEPARTMENT official the secretary is traveling to North Korea to meet with the North Korean Government to help set the table for the meeting possible meeting i should say possible meeting question summit you mean senior STATE DEPARTMENT official possible meeting between president Trump and Kim Jong un we the secretary will be listening for signs from North Korea that things have substantively changed since Kim 's declaration on New Year 's Eve to mass produce nuclear warheads and the means to deliver them question i 'm sorry to mass produce you said senior STATE DEPARTMENT official yeah question nuclear weapons question warheads senior STATE DEPARTMENT official to mass produce nuclear warheads and the means to deliver them so on January 1st on his New Year 's Eve or his New Year 's Day or New Year 's Eve speech he declared that North Korea will be mass producing nuclear warheads and the means to deliver them it 's only about a year ago that he used a chemical weapon to assassinate somebody in his half brother in another country we 're going to be listening for have they turned the page and are they ready to address the areas that directly affect American national security we are very clear eyed the secretary 's very clear eyed about not repeating the mistakes of the past The last 27 years of American diplomacy have allowed North Korea to become a threat to our security and the security of our allies and the secretary is very mindful about not repeating the mistakes of the past and this will require a new and bold approach we are looking for bold steps anything less would be to repeat the mistakes of the past i would also say that we continue to work very closely with our Japanese and Korean allies in the run up to the possible meeting in June question okay question you know how far out we are i 'm wondering if it 's possible that we 're going to land before 2:00 p.m. Eastern Time senior STATE DEPARTMENT official i do n't know how far out we are he wants to know how far we out how far are we out participant inaudible participant One hour question One hour out participant we 're an hour out question so we 're going to be landing question from landing in participant from landing inaudible question so the president basically looked at Pompeo 's schedule and saw he was going to arrive inaudible 2:00 p.m. Eastern Time question what 'd you say question i 'm trying to figure out why this whole thing is happening like this my understanding of the inaudible for the JCPOA withdrawal is that the last point point number four is that withdrawing from the deal does n't mean that we wo n't negotiate with our adversaries because look at what we 're doing with North Korea essentially senior STATE DEPARTMENT official when you say point four what do you mean question well there were four baskets of this guy 's shop created this whole communication strategy right and that the last one in senior state department official has this been publicly released i 'm just not sure what you 're referring to question no no it has n't senior STATE DEPARTMENT official oh so you want me to comment on it laughter question no i want to know how important it is it 's a point obviously now the president 's going to talk about this in this JCPOA address senior STATE DEPARTMENT official yeah question so clearly this is something that you 're going to show and then you 're going to say to critics look we 're not abandoning diplomacy we 're not doing any of this we 're working with the North Koreans they 've shown goodwill so i want to know is that really something that you 're going to be pushing on that this is a sign that America and the Trump administration is not opposed to negotiating with allies i mean with adversaries based on senior state department official i think our diplomacy in North Korea speaks for itself and answers the question that you 're asking if you look at the history of negotiations between the U.S. and North Korea it 's been a bottom up approach to a lot of work at kind of the sub presidential level to try to get to an outcome that can bring the leaders together this president is taking the rather bold step of reversing that formula after setting very powerful setting a very powerful pressure campaign to bring the North Koreans to the negotiating table but he 's now showing what we 've said all along we are committed to a diplomatic solution to the nuclear crisis question when you say bold steps what are you looking for you 're looking for a release of three American three Korean American prisoners on that what kind of bold steps do you want senior STATE DEPARTMENT official i think i 'll just leave it as i mentioned bold steps in contrast to the past decades of incremental gradual long term eventual disarmament that formula has failed to secure the peace question what are you inaudible moderator the secretary can speak you can ask the secretary about that on the record senior STATE DEPARTMENT official i 'm not going to comment on that i 'll leave that to the secretary question okay what kind of details are you looking for because since that speech in January the secretary has been here and spoken with the leader himself what is what are you looking for now that 's different than what he heard in March when he was here senior STATE DEPARTMENT official well i think the purpose of this meeting is to set the table for a possible meeting between their heads of government and i would n't speculate beyond that question how is this different than what he did in March senior STATE DEPARTMENT official well because he 's now the secretary of State and that 's an entirely different role and so i think this gives him an opportunity to have an expanded discussion question so you expect that the inaudible senior STATE DEPARTMENT official the time and the place for the meeting has not been set moderator well you can ask the secretary that about some of the specifics of it question okay that 's directly opposite of what the president said senior STATE DEPARTMENT official i do n't think it 's the it 's not the direct opposite of it he 's saying that that 's the opposite of what the president has said i said that the timing and the place of the meeting has not been set question he said the date and place have been set moderator what Matt question yeah Trump said president question the president said that the date and the place had been set moderator we 'll double check on that okay but you can ask you can ask the secretary i know we 're not going to be announcing anything at this time question who 's he going to be meeting with you 're saying North Korean Government do you what officials will he be meeting with Kim Jong un himself senior STATE DEPARTMENT official i ca n't hear you question who will who specifically will he be meeting with how high up will he be meeting with Kim Jong un senior STATE DEPARTMENT official do n't have any comment on that question you just said the government senior STATE DEPARTMENT official yeah i do n't have that 's the government i do n't have any comment on that yet question does that mean you 're going in without knowing who you 're going to be talking to senior STATE DEPARTMENT official i 'm not going to get into the preparations for this the trip kind of speaks for itself question can i ask a senior state department official we 'll have the full readout when it 's over question when you talk about bold moves the one bold move that we 've got here is the president agreeing to meet with Kim is senior state department official that is a bold move question do you consider Kim 's agreeing to meet with the president also a bold move on his part what other beyond that boldness what else are you looking for i mean moderator Matt i think the secretary could best answer that one senior STATE DEPARTMENT official he can answer it moderator since he 's been with him face to face senior STATE DEPARTMENT official he can answer this question question no no no but i mean citing the bold movement what about what they 're doing i mean someone argued that when they blew off the Yongbyon cooling tower that it was a publicity stunt but that was a bold move it was something senior state department official that was not a bold move question well it was something that senior state department official that was theatrical meant for wide mass consumption and to mislead people on the threat of a nuclear program we are not going to fall for theatrical theatrical pronouncements on the end of their nuclear program that is not convincing evidence of dismantling their nuclear program it was n't then and it will not be now question no it you 're absolutely right it was n't but it was seen as something you think that the that that administration fell for fell for a theatrical trick senior STATE DEPARTMENT official the efforts of the past however well intentioned have not addressed the North Korean threat to our security interests question right but so you 're saying moderator all right Senior State Department official 's going to have to go question that the Bush administration got i 'm going to next time i talk to Chris Hill i 'm going to question any deliverables senior STATE DEPARTMENT official feel free feel free question can you give us any deliverables moderator you can ask you can ask the secretary that he 'll be back in a few minutes senior STATE DEPARTMENT official yeah question all right
"June 5, 2018",press statement heather Nauert Department spokesperson Washington dc June 5 2018 The United States calls on the government of Ukraine to implement deep comprehensive and timely reforms that reflect the demands the people of Ukraine made during the Revolution of Dignity an end to systemic corruption faster economic growth and a European future for all Ukrainians the establishment of a genuinely independent anti corruption court is the most important immediate step the government can take to meet those demands and roll back corruption that continues to threaten Ukraine 's national security prosperity and democratic development The United States fully supports the International Monetary Fund imf which will determine whether a new law establishing the court is consistent with Ukraine 's commitments under its IMF program we agree with the imf that any legislation establishing an anti corruption court must include a central role for a council of international experts to ensure the selection of qualified judges The United States wants to be clear that legislation establishing the court must satisfy the IMF which provides essential financial support to the Ukrainian government we therefore encourage the Ukrainian government to discuss relevant legislative proposals directly with the IMF and to pass a bill that meets imf requirements the anti corruption court has important work to do on behalf of the people of Ukraine
"March 18, 2020",Yesterday the U.S. Department of State sanctioned nine entities and three individuals who have engaged in activity that could enable the Iranian regime 's violent behavior the actions of these individuals and entities provide revenue to the regime that it may use to fund terror and other destabilizing activities such as the recent rocket attacks on Iraqi and coalition forces located at Camp Taji in Iraq our sanctions will deprive the regime of critical income from its petrochemical industry and further Iran 's economic and diplomatic isolation The United States will continue to fully enforce our sanctions
"April 29, 2020","question they 're telling us to mind our own business that 's what China is telling us let 's bring in Mike Pompeo secretary of State good morning to you secretary pompeo Ainsley it 's great to be with you this morning question can you believe that they 're telling us to mind our own business that we 're lying through our teeth meanwhile we have almost 60,000 people dead so many people out of work and they 're telling us to mind our own business how are we going to how are we going to fire back what are we going to do to hold them accountable secretary pompeo so Ainsley this very much is our own business i was talking with some friends back in Kansas i 'm sure Steve knows some of them they 've been impacted by this in ways that are going to fundamentally change their lives over the course of the next several months they 're trying to figure their way out of this what the Chinese Communist Party did here in not preventing the spread of this around the world they are responsible for America needs to hold them accountable i 've been heartened to see Australia other countries joining this demanding an investigation because while we know this started in Wuhan China we do n't yet know from where it started and in spite of our best efforts to get experts on the ground they continue to try and hide and obfuscate that 's wrong it continues to pose a threat to the world and we all need to get to the bottom of what actually happened here not only for the current instant but to make sure something like this does n't happen again there are still many labs operating inside of China today and the world needs to know that we 're not going to see a repeat of this in the days and weeks and months ahead question well if it did come from the wet markets it will come again because they are back i 've seen the video you know more than i 'll ever know they are back so they have n't learned their lesson either that or it came from the Wuhan laboratory and they 're lying again here 's what China said when the criticism starts coming out of America where we are to them we advise American politicians to reflect on their own problems and try their best to control the epidemic as soon as possible instead of continuing to play tricks to deflect blame can you read between the lines for us secretary pompeo yeah they know that this happened in their country this is classic communist disinformation this is what communists do the Chinese people were harmed by this too The Chinese Communist Party we know there were journalists that were kicked out we know that there were doctors that tried to tell this story and instead they were pushed aside covered up taken out of the news those are the kind of things that communist institutions do we all know them from the Soviet days we know the kinds of things that communist parties do to try and manage information inside of their own country and around the world and so we see these efforts i saw a foreign ministry official this morning on tv trying to change this narrative we know that this virus started in Wuhan China we now have the chinese communist party now has a responsibility to tell the world how this pandemic got out of China and all across the world causing such global economic devastation question yeah i mean if we would have known earlier things could be a lot different there 's a story in the New York Post that apparently dr. Fauci 's National Institute of Allergy and Infectious Diseases shelled out a total of $ 7.4 million to the Wuhan Institute of Virology lab which has become the center of theories about the origin of COVID and also mr. secretary i understand that apparently Democratic senators have written a letter to you they want to see some cables any or all cables that the State Department might have regarding this as well what can you tell us about what 's going on behind the scenes at that federal level secretary pompeo so i ca n't i do n't know the details of the NIH grants i do know a bit about the cables we 'll do our best to respond to those two senators look the United States for a long time and continuing today tries to help countries around the world who are conducting research on highly contagious pathogens we do this not only in China but we try to bring our expertise from our National Institutes of Health from our CDC to precisely prevent something like this that 's the reason that we spend American taxpayer dollars is to protect American people from labs that are n't up to standard i can tell you there are were real concerns about the labs inside of China and i have to say i 'm still concerned that the Chinese Communist Party is not telling us about all of what 's taking place in all of the labs in fact each of the labs all across China today question yeah pretty scary what 's happening in North Korea what 's the latest there any sightings of Kim Jong un secretary pompeo Ainsley not much to add to what the president said yesterday we have n't seen him we do n't have any information to report today we 're watching it closely keeping track of what 's going on not only around chairman Kim himself but more broadly inside of North Korea they also have the risk of COVID there and there is a real risk that there will be a famine a food shortage inside of North Korea too we 're watching each of those things closely as they have a real impact on our mission set which is to ultimately denuclearize North Korea question and your administration knows better than any other administration in the past or present what these people are like face to face because you know your counterparts better because you 've had all these meetings since then but let 's move over to Iran Iran 's flat on its back right economically with the coronavirus the humiliation of having Soleimani killed and then shooting down a passenger jet but yet you say they 're still up to their unsavory acts they shot a satellite into sky they say is so terrible it 's just a basically a it 's a traveling webcam up there so the embarrassment of that but you say they 're still up to some up to no good in what way secretary pompeo they 're trying to put disinformation out as well Brian they 're telling the world that they 're broke and they need relief from American sanctions they need humanitarian assistance but we 've offered humanitarian assistance and the ayatollah and the kleptocrats the theocrats that lead the Iranian regime today are still out spending money on things that do n't benefit the Iranian people things like the military missile launch in violation of UN Security Council resolution 2231 and they 're continuing to fund Lebanese Hizballah and the Iraqi Shia all the things that take money out of the mouths of the people inside of Iran so no one should be fooled about this regime if they truly cared about their people they 'd behave in a way that is fundamentally different it 's what we 've been trying to get them to do for our three years in office and i 'm convinced we 're on the right path to deny them their resources the regime the resources to threaten America that 's been president Trump 's goal to deny them a nuclear weapon we 're determined to do that question all right mr. secretary the United States has really mobilized in producing masks and ventilators as well as figuring out the testing situation the president has made it very clear that he 's talked to other countries about how we did it but at the same time other countries reached out to the United States and said hey if you 've got some spare ventilators we can use them over here obviously some countries are downplaying the impact of COVID in their nations but who is reaching out for help to the United States secretary pompeo Steve a lot of countries are asking us for assistance and a lot of countries have received assistance we 've of course done the right thing we 've made sure we had the resources for our own people but as the American greatness as American power and American commercial prosperity continues to grow we 're building out we 're getting not only ventilators but all of the equipment that the world will need The United States will be an enormous force for good in countries in South America in countries in Africa all across the world helping them solve this problem for themselves which in turn if we get it right we can reduce the risk of COVID in their countries will reduce the risk that it comes back to our country either this fall or again next year question yeah which countries that experienced this before our country did which ones are you watching to see how they reopen their businesses and they get back to work secretary pompeo we 're watching a number of countries we 're watching how Singapore handles it although they 've had a resurgence in cases in their country as well South Korea too had some success at the front end and now they 're trying to maintain that we 're watching each of them to see how not only they 're doing it inside of their own country but these are countries that often buy products from American companies we want to make sure that they get their markets back open and that American products and American jobs return here in our country as well question for the longest time the State Department would dance on the edges of what should we be tight with China not tight with China they make things so cheap and they make things also that are cheap and a lot of times they break and ineffective but for the first time in all of our lifetime the world has been poisoned by this country and there 's only one way to point is to China as secretary of State do you have a unique opportunity to unite the world and open up their eyes to the type of regime this is and is there a plan in place with the nine months or four and a half years you have left to neutralize this superpower secretary pompeo Brian you 've hit it square on the head i think president Trump said it clearly himself as well the threat the risk the danger and now the harm that the Chinese Communist Party has imposed not only on the United States but all around the world we not only have an opportunity we have an obligation to get this right to unite the freedom loving nations likeminded countries around the world to make sure that it is not a communist regime that controls our infrastructure we 've talked about this with you all with Huawei our telecommunications infrastructure we know what this needs to look like and the United States has an obligation to get this right we 'll do this to make sure that we keep the American people safe and get our economy back on its feet and continue to make America the most prosperous wonderful great nation in the history of civilization question mr. secretary i think before this covid crisis struck i think the conventional wisdom was that the president was going to be able to broker a trade deal with China maybe just five minutes before the election or whatever it would just be one of those things that he would be able to say look i was able to do a deal with China right now the politics are very complicated and given the fact that China has done what they have done not being forthcoming with this epidemic it probably does n't look too good for a deal does it secretary pompeo so Steve look we 've got this is the conundrum we 've got the phase one trade deal China continues to make promises and says they 'll live up to it i hope that they do we have every expectation today that they will it 's certainly what they had agreed to but we 've watched China now break repeated promises they say they 're transparent they say they want to be open they say they want to join the community of nations and then we watched them in this crisis behave in ways that are just the opposite of that i hope we can find a way to have commercial relationships with them where it makes sense for America and American businesses but president Trump has from the beginning said we need fair and reciprocal trade with China and that 's what he 's going to continue to demand question mr. secretary thanks for joining us this morning secretary pompeo Ainsley thank you ma'am question you 're welcome"
"December 11, 2018",press statement Michael R. Pompeo secretary of State Washington dc December 11 2018 on behalf of the government of the United States of America i congratulate the government and people of Burkina faso as you celebrate your national day on December 11 The United States supports Burkina Faso 's efforts to build stronger democratic institutions promote economic reform confront terrorist threats and improve health to ensure prosperity for all burkinabe we applaud your cooperation with international and multilateral partners in regional peacekeeping efforts including your role in the g5 Sahel best wishes on your 58th anniversary The United States looks forward to strengthening our partnership with Burkina Faso
